sr no.,date,item_id,quantity,price_base,sum_total,store_id
136,04/08/2023,7d9708e79804,1,109.9,109.9,1
137,04/08/2023,c51e4ec506c9,7,79.9,559.3,1
138,04/08/2023,2bf6bca062e8,16,57.51,920.19,1
139,04/08/2023,d55634bd1f8b,2,150,300,1
140,04/08/2023,7dba658d647c,2,459.43,918.85,1
141,04/08/2023,6b6be59f021e,1,249.49,249.49,1
142,04/08/2023,2af56e345f6e,0.928,549,509.47,1
143,04/08/2023,79cc1d90123b,1,159.9,159.9,1
144,04/08/2023,7a4849f1c52e,2,349.9,699.8,1
145,04/08/2023,cead7736aa20,2,309.9,619.8,1
146,04/08/2023,370ac3975bac,5,35.66,178.3,1
147,04/08/2023,79c8034b06f9,4,160,640,1
148,04/08/2023,24249edd5ed0,1,56.9,56.9,1
149,04/08/2023,47852a051a82,6,89.75,538.5,1
150,04/08/2023,5b7215a367d1,20,32.9,658,1
151,04/08/2023,084e6e43d803,0.92,1799.9,1655.91,1
152,04/08/2023,ddd8c54ed70c,3,18.9,56.7,1
153,04/08/2023,e73753167a73,17,99.87,1697.73,1
154,04/08/2023,43ceb0d6f091,1,79.9,79.9,1
155,04/08/2023,3f8284f7debd,1,99.9,99.9,1
156,04/08/2023,a1f58a628e88,1,790,790,1
157,04/08/2023,96060294c43e,3,72.72,218.17,1
158,04/08/2023,55ec2011b5ee,3,69.9,209.7,1
159,04/08/2023,dbedc65be2f4,8,399,3192,1
160,04/08/2023,7c77e4d68d15,6,103.78,622.66,1
161,04/08/2023,e31147a790d2,2,89.9,179.8,1
162,04/08/2023,4da5748667ae,1,194,194,1
163,04/08/2023,42078afc7b09,8,28.86,230.9,1
164,04/08/2023,f271054fd2a1,1.282,368.95,472.99,1
165,04/08/2023,4e7f2ad04a30,1,1199.9,1199.9,1
166,04/08/2023,c9b719e13071,1,349.9,349.9,1
167,04/08/2023,14849c8f909c,1,205,205,1
168,04/08/2023,a8564f5aa125,5,37.9,189.5,1
169,04/08/2023,cda9a3e5445b,0.832,329.89,274.47,1
170,04/08/2023,211171fd6b9b,1,251.01,251.01,1
171,04/08/2023,5e707e071f92,1,79.9,79.9,1
172,04/08/2023,597bf5eb8f09,12,466.72,5600.6,1
173,04/08/2023,6e778b7819d5,4,69.9,279.6,1
174,04/08/2023,e616c715ad80,1,109.9,109.9,1
175,04/08/2023,30204f754c9f,2,45.9,91.8,1
176,04/08/2023,20bf7b042147,70.147,67.74,4751.92,1
177,04/08/2023,2ce219d50792,5,49.78,248.88,1
178,04/08/2023,e86b0d78c7da,3,139.9,419.7,1
179,04/08/2023,ba60ef413323,24,19.86,476.63,1
180,04/08/2023,59191a8f20cf,1.866,649.9,1212.72,1
181,04/08/2023,0f4c03590e3a,3,9.9,29.7,1
182,04/08/2023,d6c3d606b575,0.208,448.99,93.39,1
183,04/08/2023,54b699c0b970,1,106.9,106.9,1
184,04/08/2023,a7f920b4ed86,7,79,553,1
185,04/08/2023,f2729ed08cbe,1,49.9,49.9,1
186,04/08/2023,5487e481e36e,1,441,441,1
187,04/08/2023,0b055e274bf5,1,109.9,109.9,1
188,04/08/2023,8890ac4b5861,1,179.9,179.9,1
189,04/08/2023,7503e13c34b5,2,79.9,159.8,1
190,04/08/2023,446abd94bd45,5.02,393.18,1973.76,1
191,04/08/2023,3f02ac15c9fb,9,107.87,970.82,1
192,04/08/2023,3ed3471e5e3d,3,139.9,419.7,1
193,04/08/2023,86e88782e693,2,299.9,599.8,1
194,04/08/2023,87ed7af9900b,12,54.9,658.8,1
195,04/08/2023,e23e9bb75589,3,166.27,498.81,1
196,04/08/2023,9e5ce6d73080,3,399.9,1199.7,1
197,04/08/2023,9463b6777824,1,33.9,33.9,1
198,04/08/2023,bba6f7ee0b65,61,9.9,603.78,1
199,04/08/2023,e888a8d8a43c,0.28,560.89,157.05,1
200,04/08/2023,3f70e6b09438,1,103,103,1
201,04/08/2023,df4dd163d2e8,1,79.9,79.9,1
202,04/08/2023,fd2bf120ecea,1,49.9,49.9,1
203,04/08/2023,2bf8e88dbbd9,1,99.57,99.57,1
204,04/08/2023,9f5b9401d83d,3,209.9,629.7,1
205,04/08/2023,7149611b352c,1,79.9,79.9,1
206,04/08/2023,0cc727fd3195,12,25.9,310.8,1
207,04/08/2023,7c39216e2f57,8,36.89,295.14,1
208,04/08/2023,d5e20e694a7b,22,44.9,987.8,1
209,04/08/2023,47c2cd2da8c9,1,319.9,319.9,1
210,04/08/2023,53ddb3673548,2,119.9,239.8,1
211,04/08/2023,1d92c3f04a69,2,59.9,119.8,1
212,04/08/2023,8c00583b7d91,0.406,628.99,255.37,1
213,04/08/2023,e6579c993ebc,5.692,375.62,2138.01,1
214,04/08/2023,82bd50826e94,4,63.9,255.6,1
215,04/08/2023,b30e7bbda3b5,1,718.5,718.5,1
216,04/08/2023,9dfe7718f44e,5,94.38,471.9,1
217,04/08/2023,93063e0938bc,1,183,183,1
218,04/08/2023,a2c9734be732,57.362,179.18,10277.93,1
219,04/08/2023,338ad3c75e45,6,119.63,717.75,1
220,04/08/2023,215b8b1d4335,1,60,60,1
221,04/08/2023,ced80b19e2fb,0.762,458.99,349.75,1
222,04/08/2023,02edc05ec984,0.518,699.88,362.54,1
223,04/08/2023,55396813af5f,2,109.9,219.8,1
224,04/08/2023,9395fe696047,1,129.9,129.9,1
225,04/08/2023,beab7d23e1dc,0.644,499.01,321.36,1
226,04/08/2023,f8706f548680,1,139.9,139.9,1
227,04/08/2023,9c520b9f4a43,10,49.9,499,1
228,04/08/2023,c76cc4647d99,2,83.9,167.8,1
229,04/08/2023,6c438652e521,1,449.9,449.9,1
230,04/08/2023,940346674a82,1,49.9,49.9,1
231,04/08/2023,3e345856ba35,8,49.78,398.22,1
232,04/08/2023,3ea923ec5cdc,1,449.9,449.9,1
233,04/08/2023,a4577d85d50b,1,37.9,37.9,1
234,04/08/2023,99ad3b99c3ed,7,110.9,776.3,1
235,04/08/2023,bccf8b76ca42,4,67.4,269.6,1
236,04/08/2023,6cd2fd6b37d2,3,52.56,157.67,1
237,04/08/2023,a1c1cebf7806,1,45.9,45.9,1
238,04/08/2023,483041908ad6,11,78.58,864.39,1
239,04/08/2023,4dcde3b3832e,1,109,109,1
240,04/08/2023,65e0be00e686,1,115.9,115.9,1
241,04/08/2023,5be576040e31,1,68.91,68.91,1
242,04/08/2023,4193fc7ec6db,12.335,751.96,9275.46,1
243,04/08/2023,a201b762aaaf,51,39.81,2030.38,1
244,04/08/2023,c2b4e00c51f2,6,54.9,329.4,1
245,04/08/2023,b8f14a76eb21,53,98.57,5224.16,1
246,04/08/2023,7b2dfcdbfe07,1,212,212,1
247,04/08/2023,c911223fa1c6,2,549.9,1099.8,1
248,04/08/2023,2d4fa2c9c671,4,319.9,1279.6,1
249,04/08/2023,41c744d821a1,8,279.86,2238.86,1
250,04/08/2023,f4da151d1755,1,59.9,59.9,1
251,04/08/2023,687c4f0465e4,1.185,459.01,543.93,1
252,04/08/2023,f044b93e5e51,2,189,378,1
253,04/08/2023,ad57952b7b26,1,59.9,59.9,1
254,04/08/2023,f07bf65b250c,6,139.46,836.73,1
255,04/08/2023,74b2431d8f53,2.022,649.9,1314.1,1
256,04/08/2023,bd48d93dbba9,2,99.9,199.8,1
257,04/08/2023,10d848b68c87,2,93.73,187.45,1
258,04/08/2023,fdab92fd6ec4,7.282,566.48,4125.11,1
259,04/08/2023,db761b68c9d8,1,69.9,69.9,1
260,04/08/2023,59103e4b40f4,1,125.9,125.9,1
261,04/08/2023,1acf3f6e03a3,1,219.9,219.9,1
262,04/08/2023,ebf4ea650616,6,47,282,1
263,04/08/2023,0cc9e31ff2d9,7.8,239.9,1871.22,1
264,04/08/2023,5dea681a9924,2,149,298,1
265,04/08/2023,e667a886808f,2,729.9,1459.8,1
266,04/08/2023,9e60be63d44c,0.386,399.9,154.36,1
267,04/08/2023,8f857778db57,12,49.9,598.8,1
268,04/08/2023,1458c973da2f,1,231.41,231.41,1
269,04/08/2023,a8ae9d14e1b6,2.544,869,2210.74,1
270,04/08/2023,11acc247e66a,1,319.9,319.9,1
271,04/08/2023,058d14cc6032,5,69,345,1
272,04/08/2023,f726d2234aa8,7,54.9,384.3,1
273,04/08/2023,4849cb059ba3,9,432.98,3896.83,1
274,04/08/2023,2551cbe4475a,5,11.72,58.6,1
275,04/08/2023,8759855b9340,6.382,633.43,4042.52,1
276,04/08/2023,d487df2a87ee,10,129.58,1295.79,1
277,04/08/2023,d316282f7c78,2,53.9,107.8,1
278,04/08/2023,26130d3b955c,1,41.9,41.9,1
279,04/08/2023,cc90b6cd2929,2,109.9,219.8,1
280,04/08/2023,77850d7186b5,9,59.58,536.2,1
281,04/08/2023,2387310bafc7,1,199.8,199.8,1
282,04/08/2023,0d386fb42d32,3,319,957,1
283,04/08/2023,a59a841daf28,4,199.9,799.6,1
284,04/08/2023,401eb8d03f1a,1,89.9,89.9,1
285,04/08/2023,8a52d2bfcbc1,9,99.77,897.96,1
286,04/08/2023,20230e5899c3,4,74.9,299.6,1
287,04/08/2023,644767ba08c9,1,89.9,89.9,1
288,04/08/2023,a15caba06a0a,2,122.47,244.93,1
289,04/08/2023,5e71da0b099f,1,36.9,36.9,1
290,04/08/2023,adbe89764f7f,5,419.77,2098.85,1
291,04/08/2023,9fd7dbfc626d,0.556,598.99,333.04,1
292,04/08/2023,a8871e93ded9,4,107.58,430.3,1
293,04/08/2023,b2b40c28d8cd,2,299.9,599.8,1
294,04/08/2023,3d518c1f0aec,2,110,220,1
295,04/08/2023,be591d86b3ad,8,44.32,354.53,1
296,04/08/2023,ab7c342ea696,9,129.6,1166.39,1
297,04/08/2023,140601f6e20d,3,148.18,444.55,1
298,04/08/2023,3ddd97fd2212,8,82.89,663.11,1
299,04/08/2023,935302893a8f,5,1450,7250,1
300,04/08/2023,7a19d9487f00,7,147.02,1029.16,1
301,04/08/2023,91c32a0986a1,3,219.9,659.7,1
302,04/08/2023,dd94e2bc5601,20,138.03,2760.63,1
303,04/08/2023,e9be18f7b7d0,7,50.9,356.3,1
304,04/08/2023,16b3978a5fd2,4,99.2,396.81,1
305,04/08/2023,78f56d81c9b1,51,105.62,5386.37,1
306,04/08/2023,eba14c4a124d,1,335.9,335.9,1
307,04/08/2023,bc4e18198585,4,79.9,319.6,1
308,04/08/2023,7b5570184b98,0.58,239.9,139.14,1
309,04/08/2023,19d65a23a43e,2,15.5,30.99,1
310,04/08/2023,945e7d15ad10,1,429.9,429.9,1
311,04/08/2023,7f8115a9c4c3,1,436.9,436.9,1
312,04/08/2023,8a94feec9b84,5,109.72,548.6,1
313,04/08/2023,543425aac37b,2,22.9,45.8,1
314,04/08/2023,630cb1d623af,5,69.9,349.5,1
315,04/08/2023,7e8ce790baa1,8,121.88,975.02,1
316,04/08/2023,9d59cee931e4,7,78,546.01,1
317,04/08/2023,2e4367a26bb0,1,2299.9,2299.9,1
318,04/08/2023,716cd171d8e9,4,52.37,209.47,1
319,04/08/2023,7a14751ece01,1,409.9,409.9,1
320,04/08/2023,6d3d64b8db45,2,141,282,1
321,04/08/2023,59773cc757bc,1,169.9,169.9,1
322,04/08/2023,38bf313fecfe,1.916,399.9,766.21,1
323,04/08/2023,fa75be937439,11,359.9,3958.9,1
324,04/08/2023,e7c965603507,1.175,844.86,992.71,1
325,04/08/2023,3d6533be3675,1,48.9,48.9,1
326,04/08/2023,a7c84f19c7cd,2,209.9,419.8,1
327,04/08/2023,def52bfc9d74,4,66,264,1
328,04/08/2023,7b58b169c442,1,159.9,159.9,1
329,04/08/2023,062e8ce69112,1.144,369.9,423.17,1
330,04/08/2023,a7da9fd8ea83,24,67.35,1616.45,1
331,04/08/2023,b84f07d816af,2,89,178,1
332,04/08/2023,e26df5d6527b,3,119.9,359.7,1
333,04/08/2023,db1909a87ceb,9,79.83,718.5,1
334,04/08/2023,4a1cfadea11d,3,69.9,209.7,1
335,04/08/2023,12b1b5bd1e36,11,149.86,1648.44,1
336,04/08/2023,c906a413a038,5,25.01,125.04,1
337,04/08/2023,598d26e4c5d4,1,149.9,149.9,1
338,04/08/2023,f480ea4e9c30,2,44.9,89.8,1
339,04/08/2023,f898a9437993,2,54.9,109.8,1
340,04/08/2023,b821dce4c39e,5,69.9,349.5,1
341,04/08/2023,4108a53e1003,5,155,775,1
342,04/08/2023,74bebff34bca,2,49.5,99,1
343,04/08/2023,9efef141c1f8,0.844,2999,2531.16,1
344,04/08/2023,5db78f2812c6,5,79.83,399.13,1
345,04/08/2023,e9c03d5aeed9,27,98.53,2660.37,1
346,04/08/2023,4dacca01369b,12,30.28,363.41,1
347,04/08/2023,f08bd8605c9e,1,720,720,1
348,04/08/2023,a1b8684387bb,5,94.57,472.85,1
349,04/08/2023,8a8b2c76c282,1,174,174,1
350,04/08/2023,77460807acc2,2,209.9,419.8,1
351,04/08/2023,b1093ad12e96,1.352,495.1,669.37,1
352,04/08/2023,1703c51d72cf,1,39.9,39.9,1
353,04/08/2023,5b5634033143,0.265,599.02,158.74,1
354,04/08/2023,383939c956d1,1,79.9,79.9,1
355,04/08/2023,836bf8db7254,4,125.9,503.6,1
356,04/08/2023,ebd2469bb1da,0.396,459.9,182.12,1
357,04/08/2023,458ce6148ce4,1,219.9,219.9,1
358,04/08/2023,29a66e626d9d,1,259.9,259.9,1
359,04/08/2023,6138709790a5,5,349.9,1749.5,1
360,04/08/2023,11ce51435b1e,1,383,383,1
361,04/08/2023,ad6427ee5b69,3,124.6,373.79,1
362,04/08/2023,002f51c34a7a,6,79.9,479.4,1
363,04/08/2023,6662ef8ec5cd,2,73.9,147.8,1
364,04/08/2023,2e6ab27e22ab,12.396,159.84,1981.36,1
365,04/08/2023,bde50ac94d41,2,95,190,1
366,04/08/2023,3e1f8d799d29,5.022,459.9,2309.61,1
367,04/08/2023,9255e8ec0f15,1,49.9,49.9,1
368,04/08/2023,5792fe06b4eb,2.966,369.84,1096.94,1
369,04/08/2023,7aa215a60c36,3,138.23,414.7,1
370,04/08/2023,ae6a88fa8d71,93.121,228.63,21289.94,1
371,04/08/2023,150c62dfa612,1,269.9,269.9,1
372,04/08/2023,e3f4fbe67388,2,140,280,1
373,04/08/2023,a2c3052e27c3,3,89.9,269.7,1
374,04/08/2023,441f1957fd21,8,89.9,719.2,1
375,04/08/2023,3b4418190c20,11,213,2343,1
376,04/08/2023,1988d019b431,16,15.4,246.44,1
377,04/08/2023,0fb8cfe55604,5,194.9,974.5,1
378,04/08/2023,ee9b30590a29,6,25.9,155.4,1
379,04/08/2023,08f5e29bdcb3,1,45.9,45.9,1
380,04/08/2023,5fbb2590c8b6,2,129.9,259.8,1
381,04/08/2023,58be3caf1c38,1,119.9,119.9,1
382,04/08/2023,e5959358c327,1,119.8,119.8,1
383,04/08/2023,66bcafe36b27,1.208,1749.91,2113.89,1
384,04/08/2023,a725079c3dc1,3,399.9,1199.7,1
385,04/08/2023,303d4032e8b6,1,69.9,69.9,1
386,04/08/2023,9597431eb880,3,139.9,419.7,1
387,04/08/2023,c51ab785c175,1,999.9,999.9,1
388,04/08/2023,7fe381bb7035,1,79.9,79.9,1
389,04/08/2023,4dda944dca92,0.546,719.91,393.07,1
390,04/08/2023,345cd541986b,6,179,1074,1
391,04/08/2023,387add82a73e,1,64.9,64.9,1
392,04/08/2023,c0610f7b2a1d,7,29.9,209.3,1
393,04/08/2023,2e6d211ae61a,1,62.9,62.9,1
394,04/08/2023,bee6dce79187,0.618,749,462.88,1
395,04/08/2023,811add884a1a,1,149.9,149.9,1
396,04/08/2023,c54373d9066d,10,169.81,1698.08,1
397,04/08/2023,d873ddb7e6c6,13,48.57,631.35,1
398,04/08/2023,48b316185429,2,37.9,75.8,1
399,04/08/2023,9518f1c4c1db,1,54.9,54.9,1
400,04/08/2023,099b01d8b1a8,20,149.9,2998,1
401,04/08/2023,cb00e7ea3438,22,52.49,1154.82,1
402,04/08/2023,34d10196dd0a,3,69.9,209.7,1
403,04/08/2023,624577e2b555,1,55,55,1
404,04/08/2023,759ffe3cb22c,6,76.9,461.4,1
405,04/08/2023,5f00a5c55f8f,5,189.9,949.5,1
406,04/08/2023,737b797523fb,3,279.9,839.7,1
407,04/08/2023,062697b97fa3,0.504,699.9,352.75,1
408,04/08/2023,8f234f75cfdf,1,34.9,34.9,1
409,04/08/2023,0785c673fee1,1,199.9,199.9,1
410,04/08/2023,0167fc0b7d9f,1,449.6,449.6,1
411,04/08/2023,c205adadd4b1,2,27.92,55.83,1
412,04/08/2023,6aecf08bcd8c,10,31.82,318.15,1
413,04/08/2023,b1e5e43cf1d5,1,109.9,109.9,1
414,04/08/2023,3620da0d7597,1,159.9,159.9,1
415,04/08/2023,23bc1d9af9e7,1,64.9,64.9,1
416,04/08/2023,d68265ff2ef9,0.204,1199.02,244.6,1
417,04/08/2023,b05c7bf837da,1,119.9,119.9,1
418,04/08/2023,9d78925e324d,4,102.96,411.82,1
419,04/08/2023,039823e72e87,4,199.9,799.6,1
420,04/08/2023,b25e6539cc07,3,229.9,689.7,1
421,04/08/2023,3ace8ce00a5b,1,249.9,249.9,1
422,04/08/2023,92b3265a790c,8,14.9,119.2,1
423,04/08/2023,6b5d639508b1,2,139.9,279.8,1
424,04/08/2023,188bac9afa3b,2,35.9,71.8,1
425,04/08/2023,8774bd2f401d,1,229.9,229.9,1
426,04/08/2023,ef5c77d4ad2f,1,82.9,82.9,1
427,04/08/2023,03718592638c,9,169.19,1522.7,1
428,04/08/2023,69ee50b02ee7,1,213,213,1
429,04/08/2023,1aab07a2a659,7,99.9,699.3,1
430,04/08/2023,45d4a4048081,7,57.01,399.09,1
431,04/08/2023,92d9fd26b273,3,106,318,1
432,04/08/2023,9d0c9dafc7bb,4,99,396,1
433,04/08/2023,8edf3674a72f,4,179.9,719.6,1
434,04/08/2023,4586b9f99126,4,50.43,201.7,1
435,04/08/2023,9c52793539b6,1,25.9,25.9,1
436,04/08/2023,7852ff610151,1,39.9,39.9,1
437,04/08/2023,7c896353dc52,6,47.93,287.6,1
438,04/08/2023,15c1967eba7d,1,79.9,79.9,1
439,04/08/2023,e87d8f2511d9,4,141.37,565.46,1
440,04/08/2023,7ba8dba2f158,1,79.9,79.9,1
441,04/08/2023,af80dcbf47d2,2,109.9,219.8,1
442,04/08/2023,ad19922d8e8f,1,199.9,199.9,1
443,04/08/2023,cce030dab62e,1,99.9,99.9,1
444,04/08/2023,f2e07def5c0f,1,130,130,1
445,04/08/2023,2b4ed1e812ef,4,295.18,1180.7,1
446,04/08/2023,3378eb23b704,1,119.9,119.9,1
447,04/08/2023,dfe0a31091f7,1,449.9,449.9,1
448,04/08/2023,14142c3be2e4,4,179.9,719.6,1
449,04/08/2023,99bf8ca77e14,1,74,74,1
450,04/08/2023,2380a7f6039e,4,99.88,399.5,1
451,04/08/2023,82223a8d405f,1,416.9,416.9,1
452,04/08/2023,11ec87d50c56,1,123.9,123.9,1
453,04/08/2023,941758c12832,1,1500,1500,1
454,04/08/2023,990182d8f3da,1,144,144,1
455,04/08/2023,d5f7a39f6491,11,49.9,548.9,1
456,04/08/2023,ef610fd0608b,2,99.9,199.8,1
457,04/08/2023,6dabe25f8d9f,4,39.9,159.6,1
458,04/08/2023,a3e53c4bddb1,4,25.9,103.6,1
459,04/08/2023,779a6c476c59,3,24.65,73.95,1
460,04/08/2023,e6001574ce29,1.318,751.34,990.27,1
461,04/08/2023,5c0242f5c553,71,59.08,4194.74,1
462,04/08/2023,3653d6a28f0c,7,12.88,90.16,1
463,04/08/2023,7c5a7b16f92e,1,59.9,59.9,1
464,04/08/2023,52dc08f6d6e3,10,88.83,888.29,1
465,04/08/2023,9f4ca69b0075,12,145,1740,1
